Year,biweekly,Station,ARCD,ARCS,ARFL,BDWF,CAPE,DLVN,FHSC,GRAY,HBWF,LSCS,NNSB,PCHG,PINK,RBSM,RDWF,SFCD,THSB
2001,1,230,1,1857,388,1197,0,107,472,3,29,180,0,0,0,1426,16,34,0
2001,2,218,4,952,2628,179,0,333,1055,0,156,1513,0,1,0,712,2,417,0
2001,2,220,1,421,575,156,0,105,241,0,382,1032,1,0,0,90,2,15,0
2001,2,230,0,894,1934,799,0,113,836,1,161,2517,1,0,0,724,17,14,0
2001,3,218,865,452,777,189,0,52,292,0,290,1412,0,0,0,714,4,490,0
2001,3,220,1063,1076,853,84,0,47,290,0,149,2172,3,1,0,1140,5,109,0
2001,3,230,87,489,534,400,0,88,301,2,47,1141,1,0,0,1058,4,34,0
2001,4,218,9270,813,141,114,0,255,371,0,39,2196,13,0,0,598,0,239,0
2001,4,220,2628,1690,179,51,0,1068,519,0,49,3519,14,0,0,625,1,338,0
2001,4,230,2100,691,109,228,0,103,178,4,1,169,8,0,0,277,30,7,0
2002,1,214,0,223,342,66,0,33,265,0,30,328,0,0,0,587,5,0,0
2002,1,218,4,137,183,5,0,136,81,0,9,241,0,0,0,248,0,14,0
2002,1,220,3,372,125,15,0,60,81,0,133,351,0,0,0,12,0,0,0
2002,1,230,7,951,221,308,0,374,193,0,68,1385,0,0,0,560,380,7,0
2002,2,214,17,229,1919,253,0,38,782,0,45,877,0,0,1,302,3,0,0
2002,2,218,935,384,880,176,1,61,660,0,213,2323,0,0,1,214,0,2,0
2002,2,220,409,557,268,63,0,99,355,0,268,1655,0,0,0,29,0,0,0
2002,2,230,67,278,558,654,0,70,518,0,27,705,2,0,0,472,9,1,0
2002,3,214,699,239,988,381,0,72,301,3,10,590,8,0,1,516,5,1,0
2002,3,218,75147,98,660,435,0,44,379,0,27,993,0,0,0,231,0,15,0
2002,3,220,21180,247,260,109,0,51,167,0,46,1300,0,0,2,72,0,6,0
2002,3,230,2301,88,369,239,0,194,249,4,8,815,27,1,3,253,8,3,0
2002,4,214,69509,228,215,716,0,157,85,0,6,756,7,1,0,1617,0,7,1
2002,4,218,180483,37,19,18,0,10,46,0,5,390,3,0,0,89,0,3,0
2002,4,220,34158,385,46,44,0,18,192,1,4,2416,18,0,0,163,2,8,1
2002,4,230,40542,40,41,76,0,61,49,4,2,175,6,0,0,24,0,7,0
2003,1,214,2,720,1991,417,0,191,1630,4,248,1274,2,0,0,348,5,0,0
2003,1,218,2,39,480,81,0,31,670,0,31,1083,0,0,0,12,4,28,0
2003,1,220,2,605,568,91,0,17,119,0,232,2308,0,0,0,22,1,11,0
2003,1,230,8,769,658,1017,0,661,1212,2,347,1217,0,0,0,610,176,17,0
2003,2,214,1,26,772,303,0,19,678,0,24,2038,18,0,0,315,28,2,0
2003,2,218,1372,220,1143,133,0,47,1301,0,242,3539,2,1,0,248,3,35,1
2003,2,220,136,537,577,195,0,33,347,0,533,2852,2,1,0,496,4,10,3
2003,2,230,21,164,922,752,0,28,838,1,149,4327,1,0,0,316,271,24,0
2003,3,214,937,83,1038,960,5,43,411,7,77,885,84,18,4,388,32,7,16
2003,3,218,25568,337,914,98,10,60,1595,1,483,3014,10,1,2,1121,2,64,8
2003,3,220,1689,460,925,119,7,41,382,1,593,1831,2,8,5,119,2,6,5
2003,3,230,3992,152,219,1401,2,21,351,4,57,1690,18,9,6,186,202,2,5
2003,4,214,1057,107,280,635,1,337,655,0,116,814,130,0,5,376,19,5,1
2003,4,218,2004,595,219,178,4,17,654,0,158,1749,32,40,4,244,9,21,0
2003,4,220,699,703,50,88,0,11,503,0,134,919,11,13,0,41,1,13,0
2003,4,230,871,46,112,756,0,40,207,2,4,204,57,0,3,28,176,5,1
2004,1,214,0,312,1667,391,0,197,1547,1,173,1926,4,0,0,353,83,2,0
2004,1,218,70,131,520,133,0,92,886,0,100,2099,0,0,0,180,3,7,0
2004,1,220,7,54,29,72,0,6,10,0,110,635,0,0,0,11,2,0,0
2004,1,230,0,336,306,581,0,156,136,0,287,1847,0,0,0,613,38,2,0
2004,2,214,304,89,2571,1507,0,81,1862,0,299,2403,2,0,2,196,25,5,8
2004,2,218,1705,170,2690,519,4,124,2482,1,865,2989,0,0,1,242,7,22,0
2004,2,220,358,193,409,162,6,36,247,0,630,2022,0,0,1,40,1,2,2
2004,2,230,292,198,380,851,0,51,990,1,151,3305,27,0,1,164,8,6,1
2004,3,214,889,104,1121,807,3,90,499,0,39,1251,21,2,14,372,5,12,3
2004,3,218,1109,288,415,231,56,47,573,0,139,1899,8,1,2,221,0,29,4
2004,3,220,396,414,147,50,14,22,109,0,169,1678,3,25,1,8,0,7,5
2004,3,230,718,93,115,1058,0,58,360,0,24,1392,24,2,0,226,13,3,2
2004,4,214,405,52,521,629,2,535,958,1,22,605,106,1,2,296,45,6,1
2004,4,218,1268,343,522,86,1,94,1033,0,50,1679,9,9,2,169,0,11,2
2004,4,220,541,204,155,29,1,49,341,0,35,1111,7,1,0,18,0,1,2
2004,4,230,116,45,408,2262,0,229,698,16,4,544,348,0,3,94,165,7,20
2005,1,214,0,39,156,157,0,39,188,0,48,268,0,0,0,178,3,0,0
2005,1,218,4,29,221,47,0,86,252,4,36,247,0,0,0,21,0,1,0
2005,1,220,0,75,54,39,0,36,57,2,107,873,1,0,0,4,0,1,0
2005,1,230,2,566,328,2088,0,832,280,6,236,572,0,0,0,283,31,12,0
2005,2,214,40,99,709,336,0,166,342,0,178,664,1,0,0,254,10,4,0
2005,2,218,131,213,1314,138,0,397,993,2,392,1861,0,0,0,81,6,6,0
2005,2,220,325,240,793,139,0,505,679,3,699,2765,1,0,0,93,3,25,0
2005,2,230,21,69,245,620,0,39,247,1,120,565,1,0,0,121,56,8,0
2005,3,214,29,41,677,350,0,67,456,1,76,400,184,0,1,168,1,31,0
2005,3,218,106,89,901,213,0,28,648,0,431,1382,99,1,2,332,0,145,0
2005,3,220,367,130,433,56,0,49,459,0,269,1350,131,1,1,29,1,45,1
2005,3,230,223,58,338,451,0,70,265,1,21,684,119,0,1,82,12,30,0
2005,4,214,263,126,217,937,29,424,364,1,46,386,73,0,13,380,3,16,0
2005,4,218,12298,366,220,109,26,31,485,0,157,1461,83,0,3,80,0,70,0
2005,4,220,1054,172,178,44,4,139,345,0,105,903,42,0,5,31,0,48,0
2005,4,230,1042,82,127,989,2,287,203,1,3,100,38,0,3,88,59,10,0
2006,1,214,33,154,760,523,0,77,346,4,117,1111,1,0,0,126,22,28,0
2006,1,218,82,152,793,86,0,375,524,0,89,1478,0,0,0,78,3,25,0
2006,1,220,83,120,504,88,0,206,187,0,215,2315,0,0,0,21,1,121,0
2006,1,230,131,240,135,417,1,69,247,0,104,814,0,0,0,310,39,5,0
2006,2,214,52,79,394,183,0,9,511,0,150,2591,8,0,0,234,0,50,0
2006,2,218,229,56,1150,129,0,14,708,0,259,2429,1,0,0,272,1,85,0
2006,2,220,206,101,573,66,0,17,283,1,252,1854,3,1,0,114,0,33,0
2006,2,230,12,83,409,640,0,16,394,3,101,2627,11,0,0,237,41,16,0
2006,3,214,61,26,439,129,1,59,346,0,70,1675,2,0,0,304,2,18,0
2006,3,218,165,15,467,36,22,9,393,0,128,1400,12,1,0,165,0,82,2
2006,3,220,715,64,545,41,5,4,429,0,156,1221,8,0,1,96,1,119,5
2006,3,230,308,92,337,950,0,33,366,3,5,1276,71,2,1,301,146,43,2
2006,4,214,355,31,46,262,13,607,754,0,5,314,23,0,2,132,12,4,2
2006,4,218,2378,55,139,80,28,73,258,0,32,1317,17,3,1,231,1,100,1
2006,4,220,1030,75,155,74,17,79,260,0,53,1483,14,1,1,114,0,50,9
2006,4,230,8,46,84,896,0,731,232,5,1,131,131,0,1,38,158,3,0
2007,1,214,3,358,450,602,0,161,513,0,332,896,20,0,0,218,48,3,0
2007,1,218,28,113,451,122,0,252,1109,5,217,986,9,0,0,84,4,21,0
2007,1,220,11,50,715,122,0,53,377,15,589,939,4,0,0,151,5,7,0
2007,1,230,18,92,203,578,0,50,441,2,89,188,8,0,0,67,104,0,0
2007,2,214,19,233,717,607,0,74,834,0,145,630,67,0,0,210,8,5,0
2007,2,218,61,406,1511,249,0,74,1088,1,384,698,309,0,0,213,0,16,0
